player_name,Top Goals,Top Disposals,Top Metres Gained
Adam Cerra,0.0,25.0,0.0
Blake Acres,0.0,22.0,0.0
Callum Ah Chee,0.0,0.0,331.0
Cam Rayner,1.0,0.0,0.0
Charlie Cameron,2.0,0.0,0.0
Charlie Curnow,4.0,0.0,0.0
Darcy Wilmot,0.0,21.0,522.0
David Cuningham,1.0,0.0,0.0
Dayne Zorko,2.0,19.0,0.0
George Hewett,0.0,27.0,409.0
Harry McKay,3.0,0.0,0.0
Hugh McCluggage,0.0,0.0,362.0
Jarryd Lyons,0.0,19.0,0.0
Joe Daniher,0.0,0.0,433.0
Jordan Boyd,0.0,0.0,362.0
Josh Dunkley,0.0,21.0,0.0
Lachie Fogarty,1.0,0.0,0.0
Lachie Neale,0.0,25.0,0.0
Lewis Young,0.0,0.0,431.0
Lincoln McCarthy,2.0,0.0,0.0
Matthew Cottrell,1.0,0.0,0.0
Matthew Kennedy,1.0,0.0,0.0
Mitch McGovern,0.0,0.0,339.0
Nic Newman,0.0,0.0,402.0
Patrick Cripps,0.0,23.0,0.0
Zac Williams,0.0,19.0,375.0
